Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,1992,1380.6,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,1993,1236.96,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,1994,1164.76,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,1995,1151.26,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,1996,1163.91,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,1997,1145.35,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,1998,1088.96,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,1999,1071.71,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,2000,1088.35,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,2001,1117.14,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,2002,1227.03,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,2003,1233.16,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,2004,1325.36,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GT,Agriculture Total,1,Armenia,7231,Emissions (CO2eq),1711,Agriculture total,2005,1305.42,A,"Aggregate, may include official, semi-official, estimated or calculated data"
